Country or subnational area,Estimate of civilian firearms per 100 persons,Region,Subregion,Population 2017,Estimate of firearms in civilian possession,Computation method,Registered firearms,Unregistered firearms,Crime Index,Safety Index
Afghanistan,12.5,Asia,South Asia,34169000,4270000,2,N/A,N/A,77.01,22.99
Albania,12,Europe,Southern Europe,2911000,350000,2,"65,747","284,253",46.08,53.92
Algeria,2.1,Africa,North Africa,41064000,877000,2,"200,000","677,000",53.82,46.18
American Samoa,0.7,Oceania,Polynesia,56000,400,2,250,150,,
Andorra,14.1,Europe,Southern Europe,69000,10000,3,"7,599","2,401",,
Angola,11.2,Africa,Central Africa,26656000,2982000,2,N/A,N/A,66.39,33.61
Antigua and Barbuda,5.4,Americas,Caribbean,94000,5000,2,"1,449","3,551",,
Argentina,7.4,Americas,South America,44272000,3256000,2,"1,562,332","1,693,668",64.14,35.86
Armenia,6.1,Asia,Western Asia,3032000,186000,3,"45,822","140,178",22.13,77.87
Aruba,2.6,Americas,Caribbean,105000,3000,3,N/A,N/A,,
Australia,14.5,Oceania,Australasia,24642000,3573000,2,"3,158,795","414,205",43.85,56.15
Austria,30,Europe,Western Europe,8592000,2577000,1,"837,000","1,740,000",26.08,73.92
Azerbaijan,3.6,Asia,Western Asia,9974000,362000,2,N/A,N/A,32.25,67.75
Bahamas,18.8,Americas,Caribbean,397000,74000,2,"17,110","56,890",62.48,37.52
Bahrain,12.8,Asia,Western Asia,1419000,181000,3,N/A,N/A,24.41,75.59
Bangladesh,0.4,Asia,South Asia,164828000,659000,2,"185,000","474,000",63.45,36.55
Barbados,3.5,Americas,Caribbean,286000,10000,3,"3,000","7,000",46.57,53.43
Belarus,6.1,Europe,Eastern Europe,9459000,581000,3,"130,000","451,000",58.41,41.59
Belgium,12.7,Europe,Western Europe,11444000,1451000,1,"426,939","1,024,061",45.38,54.62
Belize,10,Americas,Central America,375000,37000,2,"10,755","26,245",51.51,48.49
Benin,0.3,Africa,West Africa,11459000,33000,2,N/A,N/A,,
Bermuda,4.6,Americas,North America,61000,3000,3,N/A,N/A,,
Bhutan,0.8,Asia,South Asia,793000,6000,3,"4,309","1,691",,
Bolivia,2,Americas,South America,11053000,218000,3,"10,982","207,018",58.28,41.72
Bosnia and Herzegovina,31.2,Europe,Southern Europe,3793000,1185000,2,"353,000","832,000",,
Botswana,4.1,Africa,Southern Africa,2344000,97000,2,"32,901","64,099",52.37,47.63
Brazil,8.3,Americas,South America,211243000,17510000,2,"8,080,295","9,429,705",67.01,32.99
British Virgin Islands,0.8,Americas,Caribbean,31000,300,2,48,252,,
Brunei,1.4,Asia,South-East Asia,434000,6000,2,N/A,N/A,29,71
Bulgaria,8.4,Europe,Eastern Europe,7045000,590000,1,"345,733","244,267",38.74,61.26
Burkina Faso,0.9,Africa,West Africa,19173000,175000,2,N/A,N/A,,
Burundi,2,Africa,East Africa,11936000,238000,2,N/A,N/A,,
Cambodia,4.5,Asia,South-East Asia,16076000,717000,2,N/A,N/A,50.74,49.26
Cameroon,2.1,Africa,Central Africa,24514000,510000,2,N/A,N/A,66.59,33.41
Canada,34.7,Americas,North America,36626000,12708000,2,"2,081,442","10,626,558",42.95,57.05
Cape Verde,5.7,Africa,West Africa,533000,31000,2,N/A,N/A,,
Cayman Islands,9.2,Americas,Caribbean,62000,6000,3,"1,556","4,444",,
Central African Republic,1.8,Africa,Central Africa,5099000,94000,2,N/A,N/A,,
Chad,1,Africa,Central Africa,14965000,151000,2,N/A,N/A,,
Channel Islands,14,Europe,Western Europe,165000,23000,2,"14,550","8,450",,
Chile,12.1,Americas,South America,18313000,2220000,2,"763,182","1,456,818",53.98,46.02
China,3.6,Asia,East Asia,1388233000,49735000,2,"680,000","49,055,000",29.39,70.61
Christmas Island,0,Asia,South-East Asia,2000,,2,N/A,N/A,,
Colombia,10.1,Americas,South America,49068000,4971000,2,"706,210","4,264,790",57.71,42.29
Comoros,1.5,Africa,East Africa,826000,12000,2,N/A,N/A,,
Congo,2.4,Africa,Central Africa,4866000,119000,2,N/A,N/A,,
Costa Rica,10,Americas,Central America,4906000,493000,2,"235,631","257,369",53.86,46.14
Croatia,13.7,Europe,Southern Europe,4210000,576000,2,"390,000","186,000",24.13,75.87
Cuba,2.1,Americas,Caribbean,11390000,234000,2,"58,150","175,850",30.94,69.06
Cura�ao,2.6,Americas,Caribbean,160000,4000,3,N/A,N/A,,
Cyprus,34,Asia,Western Asia,839000,285000,2,"154,327","130,673",32.12,67.88
Czech Republic,12.5,Europe,Central Europe,10555000,1323000,2,"806,895","516,105",25.54,74.46
Denmark,9.9,Europe,Northern Europe,5712000,567000,1,"340,000","227,000",26.56,73.44
Djibouti,3.1,Africa,East Africa,911000,28000,2,N/A,N/A,,
Dominica,6.2,Americas,Caribbean,73000,5000,3,N/A,N/A,,
Dominican Republic,7.4,Americas,Caribbean,10767000,795000,2,"333,426","461,574",60.94,39.06
DR Congo,1.2,Africa,Central Africa,82243000,946000,2,216,"945,784",,
East Timor,0.3,Asia,South-East Asia,1237000,3000,2,N/A,N/A,,
Ecuador,2.4,Americas,South America,16626000,402000,2,"167,102","234,898",57.24,42.76
Egypt,4.1,Africa,North Africa,95215000,3931000,2,"250,000","3,681,000",46.57,53.43
