,Topic,Percentage,Year,Employment,Firms,Establishments,Enterprise Size,"Annual Payroll ($1,000)"
17995,Businesses with a website or home page (%),51.3,2012,"14,807,958","650,749","1,063,842",01:  Total,"377,038,789"
17996,Businesses with a website or home page (%),51.3,2012,"739,478","392,521","393,597",02:  0-4,"17,904,099"
17997,Businesses with a website or home page (%),51.3,2012,"876,781","133,189","136,852",03:  5-9,"20,715,115"
17998,Businesses with a website or home page (%),51.3,2012,"905,860","68,800","78,601",04:  10-19,"23,828,252"
17999,Businesses with a website or home page (%),51.3,2012,"2,522,119","594,510","609,050",05:  <20,"62,447,466"
18000,Businesses with a website or home page (%),51.3,2012,"1,734,151","46,580","80,246",06:  20-99,"56,946,800"
18001,Businesses with a website or home page (%),51.3,2012,"1,065,699","7,494","46,773",07:  100-499,"37,806,797"
18002,Businesses with a website or home page (%),51.3,2012,"5,321,969","648,584","736,069",08:  <500,"157,201,063"
18003,Businesses with a website or home page (%),51.3,2012,"190,842",515,"10,963",09:  500-749,"5,745,284"
18004,Businesses with a website or home page (%),51.3,2012,"146,514",292,"7,841",10:  750-999,"4,326,214"
18005,Businesses with a website or home page (%),51.3,2012,"182,175",299,"11,042","11:  1,000-1,499","5,325,544"
18006,Businesses with a website or home page (%),51.3,2012,"128,173",146,"7,025","12:  1,500-1,999","3,284,456"
18007,Businesses with a website or home page (%),51.3,2012,"111,852",112,"8,327","13:  2,000-2,499","3,154,828"
18008,Businesses with a website or home page (%),51.3,2012,"450,774",289,"30,072","14:  2,500-4,999","10,450,395"
18009,Businesses with a website or home page (%),51.3,2012,"8,275,659",512,"252,503","15:  5,000+","187,551,005"
18775,Orders received over computer networks (%),5.4,2012,"14,807,958","650,749","1,063,842",01:  Total,"377,038,789"
18776,Orders received over computer networks (%),5.4,2012,"739,478","392,521","393,597",02:  0-4,"17,904,099"
18777,Orders received over computer networks (%),5.4,2012,"876,781","133,189","136,852",03:  5-9,"20,715,115"
18778,Orders received over computer networks (%),5.4,2012,"905,860","68,800","78,601",04:  10-19,"23,828,252"
18779,Orders received over computer networks (%),5.4,2012,"2,522,119","594,510","609,050",05:  <20,"62,447,466"
18780,Orders received over computer networks (%),5.4,2012,"1,734,151","46,580","80,246",06:  20-99,"56,946,800"
18781,Orders received over computer networks (%),5.4,2012,"1,065,699","7,494","46,773",07:  100-499,"37,806,797"
18782,Orders received over computer networks (%),5.4,2012,"5,321,969","648,584","736,069",08:  <500,"157,201,063"
18783,Orders received over computer networks (%),5.4,2012,"190,842",515,"10,963",09:  500-749,"5,745,284"
18784,Orders received over computer networks (%),5.4,2012,"146,514",292,"7,841",10:  750-999,"4,326,214"
18785,Orders received over computer networks (%),5.4,2012,"182,175",299,"11,042","11:  1,000-1,499","5,325,544"
18786,Orders received over computer networks (%),5.4,2012,"128,173",146,"7,025","12:  1,500-1,999","3,284,456"
18787,Orders received over computer networks (%),5.4,2012,"111,852",112,"8,327","13:  2,000-2,499","3,154,828"
18788,Orders received over computer networks (%),5.4,2012,"450,774",289,"30,072","14:  2,500-4,999","10,450,395"
18789,Orders received over computer networks (%),5.4,2012,"8,275,659",512,"252,503","15:  5,000+","187,551,005"
19555,Orders received over computer networks (%),5.8,2013,"15,023,362","651,968","1,063,616",01:  Total,"387,294,616"
19556,Orders received over computer networks (%),5.8,2013,"738,769","393,794","395,017",02:  0-4,"18,408,013"
19557,Orders received over computer networks (%),5.8,2013,"873,294","132,739","135,982",03:  5-9,"21,022,524"
19558,Orders received over computer networks (%),5.8,2013,"904,921","68,747","77,216",04:  10-19,"24,193,593"
19559,Orders received over computer networks (%),5.8,2013,"2,516,984","595,280","608,215",05:  <20,"63,624,130"
19560,Orders received over computer networks (%),5.8,2013,"1,746,033","46,800","78,583",06:  20-99,"58,662,703"
19561,Orders received over computer networks (%),5.8,2013,"1,107,402","7,684","46,175",07:  100-499,"40,573,158"
19562,Orders received over computer networks (%),5.8,2013,"5,370,419","649,764","732,973",08:  <500,"162,859,991"
19563,Orders received over computer networks (%),5.8,2013,"199,136",536,"11,138",09:  500-749,"6,067,606"
19564,Orders received over computer networks (%),5.8,2013,"150,383",292,"8,247",10:  750-999,"4,554,598"
19565,Orders received over computer networks (%),5.8,2013,"177,517",297,"10,503","11:  1,000-1,499","5,520,022"
19566,Orders received over computer networks (%),5.8,2013,"143,228",174,"8,052","12:  1,500-1,999","3,792,642"
19567,Orders received over computer networks (%),5.8,2013,"107,698",98,"7,026","13:  2,000-2,499","2,665,380"
19568,Orders received over computer networks (%),5.8,2013,"428,922",287,"28,531","14:  2,500-4,999","10,638,359"
19569,Orders received over computer networks (%),5.8,2013,"8,446,059",520,"257,146","15:  5,000+","191,196,018"
20335,Orders received over computer networks (%),6.4,2014,"15,372,632","650,846","1,065,368",Total,"406,625,453"
20336,Orders received over computer networks (%),6.4,2014,"735,008","391,726","393,094",0-4,"18,932,261"
20337,Orders received over computer networks (%),6.4,2014,"872,981","132,616","135,769",5-9,"21,550,657"
20338,Orders received over computer networks (%),6.4,2014,"908,783","69,010","77,155",10-19,"25,049,622"
20339,Orders received over computer networks (%),6.4,2014,"1,774,406","47,319","78,190",20-99,"61,134,148"
20340,Orders received over computer networks (%),6.4,2014,"1,153,816","7,901","44,695",100-499,"43,613,330"
20341,Orders received over computer networks (%),6.4,2014,"217,988",583,"11,872",500-749,"6,822,014"
20342,Orders received over computer networks (%),6.4,2014,"144,959",279,"6,924",750-999,"4,605,789"
20343,Orders received over computer networks (%),6.4,2014,"196,532",317,"11,525","1,000-1,499","6,138,940"
20344,Orders received over computer networks (%),6.4,2014,"148,149",183,"8,114","1,500-1,999","4,510,209"
20345,Orders received over computer networks (%),6.4,2014,"114,085",98,"7,229","2,000-2,499","2,771,808"
20346,Orders received over computer networks (%),6.4,2014,"444,639",295,"30,002","2,500-4,999","11,347,715"
20347,Orders received over computer networks (%),6.4,2014,"8,661,286",519,"260,799","5,000+","200,148,960"
21113,Orders received over computer networks (%),7.1,2015,"15,704,167","652,418","1,070,209",01:  Total,
21114,Orders received over computer networks (%),7.1,2015,"719,063","391,545","392,830",02:  0-4,
21115,Orders received over computer networks (%),7.1,2015,"874,066","132,740","135,966",03:  5-9,
21116,Orders received over computer networks (%),7.1,2015,"922,597","69,982","77,567",04:  10-19,
21117,Orders received over computer networks (%),7.1,2015,"2,515,726","594,267","606,363",05:  <20,
